tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A04515,12,4,0,0,0,0,0.0,16
A04598,16,0,0,0,0,0,0.0,16
A08807,3,12,0,0,0,0,0.0,15
A00609,14,0,0,0,0,0,0.0,14
A02714,3,11,0,0,0,0,0.0,14
A07584,13,1,0,0,0,0,0.0,14
A02379,10,2,0,0,0,0,0.0,12
A06686,5,6,0,0,0,0,0.0,11
A00466,0,10,0,0,0,0,0.0,10
A04789,8,2,0,0,0,0,0.0,10
A02589,2,7,0,0,0,0,0.0,9
A05156,9,0,0,0,0,0,0.0,9
A02537,2,6,0,0,0,0,0.0,8
A00356,7,0,0,0,0,0,0.0,7
A02628,2,5,0,0,0,0,0.0,7
A03597,2,4,0,0,0,0,0.0,6
A01327,5,0,0,0,0,0,0.0,5
A02497,2,3,0,0,0,0,0.0,5
A04351,5,0,0,0,0,0,0.0,5
A05394,5,0,0,0,0,0,0.0,5
A00200,2,2,0,0,0,0,0.0,4
A00639,1,3,0,0,0,0,0.0,4
A03589,3,1,0,0,0,0,0.0,4
A04482,4,0,0,0,0,0,0.0,4
A05397,3,1,0,0,0,0,0.0,4
A05534,3,1,0,0,0,0,0.0,4
A09442,4,0,0,0,0,0,0.0,4
A03497,0,3,0,0,0,0,0.0,3
A04127,2,1,0,0,0,0,0.0,3
A00789,1,1,0,0,0,0,0.0,2
A02184,1,1,0,0,0,0,0.0,2
A02882,2,0,0,0,0,0,0.0,2
A03494,0,2,0,0,0,0,0.0,2
A03753,1,1,0,0,0,0,0.0,2
A03908,2,0,0,0,0,0,0.0,2
A00779,1,0,0,0,0,0,0.0,1
A03495,1,0,0,0,0,0,0.0,1
A04477,0,1,0,0,0,0,0.0,1
A05158,1,0,0,0,0,0,0.0,1
