verse_id,verse_text,to_remove
Ezekiel 20.19 (AKJV) - 0,Part 1 of Ezekiel 20.19: I am the Lord your God:,TRUE
Ezekiel 20.19 (Geneva) - 0,Part 1 of Ezekiel 20.19: I am the Lord your God:,TRUE
Ezekiel 20.19 (Douay-Rheims) - 0,Part 1 of Ezekiel 20.19: I am the Lord your God:,TRUE
Ezekiel 16.19 (AKJV) - 1,"Part 2 of Ezekiel 16.19: and thus it was, saith the Lord God.",FALSE
Jeremiah 30.2 (AKJV) - 0,"Part 1 of Jeremiah 30.2: Thus speaketh the Lord God of Israel, saying;",TRUE
1 Kings 7.18 (Geneva) - 1,Part 2 of 1 Kings 7.18: And thus did he for the other chapiter.,TRUE
3 Kings 7.18 (Douay-Rheims) - 1,Part 2 of 3 Kings 7.18: and in like manner did he to the other chapiter.,TRUE
3 Kings 7.29 (Douay-Rheims) - 1,Part 2 of 3 Kings 7.29: and in the joinings likewise above:,TRUE
Mark 12.21 (ODRV) - 2,Part 3 of Mark 12.21: And the third in like manner.,TRUE
1 Kings 6.10 (Douay-Rheims) - 0,Part 1 of 1 Kings 6.10: They did therefore in this manner:,TRUE
4 Kings 17.8 (Douay-Rheims) - 1,Part 2 of 4 Kings 17.8: because they had done in like manner.,TRUE
3 Kings 21.9 (Douay-Rheims) - 0,Part 1 of 3 Kings 21.9: And this was the tenor of the letters:,TRUE
1 Chronicles 8.8 (AKJV) - 1,Part 2 of 1 Chronicles 8.8: After hee had sent them away:,TRUE
2 Kings 15.12 (AKJV) - 1,Part 2 of 2 Kings 15.12: And so it came to passe.,TRUE
2 Maccabees 4.17 (Douay-Rheims) - 1,Part 2 of 2 Maccabees 4.17: but this the time following will declare.,FALSE
2 Kings 7.20 (AKJV) - 0,Part 1 of 2 Kings 7.20: And so it fell out vnto him:,FALSE
Acts 13.35 (ODRV) - 0,Part 1 of Acts 13.35: And therfore in another place also he saith:,TRUE
Genesis 41.26 (ODRV) - 2,Part 3 of Genesis 41.26: and both conteine the selfe same meaning of the dreame.,TRUE
2 Kings 15.12 (Geneva) - 1,Part 2 of 2 Kings 15.12: And it came so to passe.,TRUE
Wisdom 15.7 (AKJV) - 2,Part 3 of Wisdom 15.7: and likewise also all such as serue to the contrary:,FALSE
2 Maccabees 2.33 (Douay-Rheims) - 1,Part 2 of 2 Maccabees 2.33: let this be enough by way of a preface:,TRUE
Psalms 53.2 (ODRV) - 2,Part 3 of Psalms 53.2: Reg. 1. 23. & 26. ),TRUE
2 Maccabees 15.24 (Douay-Rheims) - 1,Part 2 of 2 Maccabees 15.24: And thus he concluded his prayer.,TRUE
4 Kings 15.12 (Douay-Rheims) - 2,Part 3 of 4 Kings 15.12: And so it came to pass.,TRUE
2 Maccabees 6.17 (Douay-Rheims) - 1,Part 2 of 2 Maccabees 6.17: And now we must come to the narration.,TRUE
2 Kings 7.20 (Geneva) - 0,Part 1 of 2 Kings 7.20: And so it came vnto him:,TRUE
Deuteronomy 15.2 (Douay-Rheims) - 0,Part 1 of Deuteronomy 15.2: Which shall be celebrated in this order.,FALSE
Mark 14.31 (Wycliffe) - 1,Part 2 of Mark 14.31: And in lijk maner alle seiden.,TRUE
1 Kings 7.17 (AKJV) - 1,"Part 2 of 1 Kings 7.17: seuen for the one chapiter, and seuen for the other chapiter.",FALSE
2 Maccabees 8.26 (Douay-Rheims) - 2,Part 3 of 2 Maccabees 8.26: and therefore they did not continue the pursuit.,FALSE
Leviticus 4.20 (Geneva) - 1,Part 2 of Leviticus 4.20: so shall he do with this:,TRUE
1 Esdras 6.13 (AKJV) - 0,Part 1 of 1 Esdras 6.13: So they gaue vs this answere:,TRUE
1 Corinthians 1.12 (Tyndale) - 0,Part 1 of 1 Corinthians 1.12: And this is it that I meane:,TRUE
2 Kings 18.26 (Douay-Rheims) - 3,Part 4 of 2 Kings 18.26: He also is a good messenger.,FALSE
1 Corinthians 15.5 (ODRV) - 1,Part 2 of 1 Corinthians 15.5: and after that of the eleuen.,TRUE
3 Kings 2.15 (Douay-Rheims) - 2,Part 3 of 3 Kings 2.15: for it was appointed him by the Lord.,FALSE
Job 39.35 (Douay-Rheims) - 1,"Part 2 of Job 39.35: and another, to which I will add no more.",TRUE
2 Chronicles 35.15 (AKJV) - 2,Part 3 of 2 Chronicles 35.15: they might not depart from their seruice;,FALSE
Acts 13.35 (Tyndale) - 0,Part 1 of Acts 13.35: Wherfore he saith also in another place:,TRUE
